iter	Passed	Remaining
215	1160	4211
216	1164	4203
217	1169	4194
218	1173	4185
219	1178	4177
220	1183	4170
221	1187	4163
222	1192	4154
223	1197	4146
224	1201	4138
225	1205	4130
226	1210	4122
227	1215	4114
228	1219	4106
229	1223	4097
230	1228	4089
231	1233	4082
232	1237	4073
233	1242	4066
234	1246	4059
235	1251	4052
236	1256	4044
237	1261	4038
238	1267	4036
239	1275	4039
240	1281	4034
241	1285	4026
242	1290	4020
243	1295	4015
244	1301	4009
245	1306	4003
246	1311	3997
247	1316	3990
248	1320	3983
249	1325	3976
250	1330	3970
251	1335	3963
252	1339	3956
253	1344	3949
254	1350	3944
255	1355	3938
256	1360	3932
257	1365	3926
258	1370	3920
259	1375	3913
260	1380	3907
261	1384	3900
262	1389	3893
263	1394	3886
264	1399	3880
265	1404	3874
266	1408	3867
267	1413	3861
268	1418	3854
269	1422	3846
270	1427	3839
271	1431	3832
272	1436	3824
273	1440	3817
274	1445	3810
275	1449	3802
276	1453	3795
277	1458	3788
278	1463	3781
279	1467	3773
280	1471	3766
281	1476	3760
282	1481	3752
283	1485	3745
284	1490	3738
285	1494	3731
286	1499	3724
287	1503	3716
288	1507	3709
289	1512	3703
290	1517	3697
291	1522	3690
292	1526	3683
293	1530	3676
294	1535	3668
295	1539	3662
296	1544	3654
297	1548	3647
298	1552	3640
299	1557	3633
300	1561	3627
301	1566	3620
302	1571	3613
303	1575	3607
304	1580	3600
305	1584	3593
306	1589	3587
307	1594	3581
308	1598	3575
309	1603	3568
310	1607	3561
311	1612	3554
312	1616	3548
313	1621	3541
314	1625	3535
315	1630	3528
316	1634	3521
317	1639	3515
318	1643	3508
319	1647	3501
320	1652	3495
321	1656	3488
322	1661	3482
323	1665	3475
324	1670	3469
325	1674	3462
326	1679	3456
327	1683	3449
328	1688	3443
329	1692	3436
330	1697	3430
331	1701	3423
332	1706	3417
333	1710	3411
334	1715	3404
335	1719	3398
336	1724	3392
337	1729	3386
338	1733	3380
339	1738	3375
340	1743	3369
341	1747	3362
342	1752	3356
343	1756	3350
344	1761	3344
345	1765	3337
346	1770	3332
347	1775	3325
348	1779	3319
349	1784	3313
350	1788	3306
351	1792	3299
352	1797	3293
353	1801	3287
354	1806	3281
355	1810	3275
356	1814	3268
357	1819	3263
358	1824	3257
359	1828	3251
360	1833	3245
361	1837	3239
362	1842	3232
363	1847	3227
364	1851	3221
365	1855	3215
366	1860	3208
367	1864	3202
368	1868	3196
369	1873	3189
370	1878	3184
371	1884	3181
372	1889	3175
373	1893	3169
374	1898	3163
375	1902	3157
376	1906	3151
377	1911	3145
378	1915	3139
379	1920	3133
380	1924	3127
381	1929	3120
382	1933	3114
383	1938	3109
384	1942	3102
385	1946	3096
386	1951	3091
387	1955	3085
388	1960	3079
389	1964	3073
390	1969	3067
391	1973	3060
392	1978	3055
393	1982	3049
394	1987	3043
395	1991	3037
396	1995	3031
397	2000	3025
398	2005	3020
399	2010	3015
400	2014	3009
401	2019	3004
402	2024	2999
403	2029	2994
404	2034	2988
405	2039	2983
406	2043	2977
407	2048	2972
408	2054	2968
409	2059	2964
410	2065	2960
411	2071	2955
412	2076	2951
413	2082	2948
414	2088	2943
415	2094	2939
416	2099	2935
417	2104	2930
418	2109	2925
419	2115	2921
420	2120	2916
421	2126	2912
422	2132	2908
423	2137	2904
424	2143	2900
425	2149	2896
426	2154	2891
427	2160	2887
428	2165	2882
429	2171	2878
430	2176	2873
431	2182	2869
432	2188	2865
433	2193	2860
434	2198	2855
435	2203	2850
436	2208	2844
437	2212	2839
438	2217	2834
439	2222	2829
440	2227	2823
441	2232	2818
442	2237	2812
443	2241	2807
444	2246	2801
445	2251	2796
446	2255	2790
447	2260	2784
448	2264	2779
449	2269	2773
450	2274	2768
451	2278	2762
452	2282	2756
453	2287	2750
454	2291	2745
455	2296	2739
456	2300	2733
457	2305	2727
458	2310	2723
459	2315	2717
460	2319	2712
461	2324	2707
462	2329	2701
463	2333	2695
464	2338	2690
465	2343	2685
466	2347	2679
467	2352	2673
468	2356	2668
469	2361	2662
470	2366	2657
471	2370	2651
472	2375	2647
473	2380	2641
474	2384	2635
475	2389	2630
476	2393	2624
477	2398	2619
478	2402	2613
479	2407	2608
480	2412	2602
481	2416	2597
482	2421	2591
483	2425	2586
484	2430	2580
485	2434	2575
486	2439	2569
487	2443	2564
488	2448	2558
489	2452	2552
490	2457	2547
491	2461	2541
492	2466	2536
493	2470	2530
494	2475	2525
495	2479	2519
496	2484	2514
497	2488	2508
498	2493	2503
499	2497	2497
500	2502	2492
501	2506	2486
502	2511	2481
503	2515	2475
504	2520	2470
505	2524	2464
506	2528	2459
507	2533	2453
508	2537	2448
509	2542	2442
510	2546	2437
511	2551	2431
512	2556	2426
513	2561	2421
514	2566	2416
515	2570	2411
516	2575	2405
517	2579	2400
518	2584	2395
519	2588	2389
520	2593	2384
521	2597	2378
522	2602	2373
523	2606	2367
524	2611	2362
525	2615	2356
526	2619	2351
527	2624	2345
528	2628	2340
529	2632	2334
530	2637	2329
531	2641	2324
532	2646	2318
533	2651	2313
534	2656	2308
535	2661	2303
536	2665	2298
537	2670	2293
538	2674	2287
539	2678	2282
540	2683	2276
541	2688	2271
542	2692	2265
543	2696	2260
544	2701	2255
545	2705	2249
546	2710	2244
547	2714	2239
548	2719	2233
549	2723	2228
550	2728	2223
551	2733	2218
552	2737	2212
553	2742	2207
554	2746	2202
555	2751	2196
556	2755	2191
557	2759	2185
558	2764	2180
559	2769	2175
560	2773	2170
561	2777	2165
562	2782	2159
563	2786	2154
564	2791	2148
565	2795	2143
566	2799	2138
567	2804	2132
568	2809	2127
569	2813	2122
570	2818	2117
571	2823	2112
572	2828	2107
573	2833	2102
574	2838	2097
575	2842	2092
576	2847	2087
577	2851	2082
578	2856	2076
579	2860	2071
580	2865	2066
581	2869	2060
582	2873	2055
583	2878	2050
584	2882	2044
585	2887	2039
586	2891	2034
587	2896	2029
588	2900	2024
589	2905	2018
590	2909	2013
591	2914	2008
592	2918	2003
593	2923	1998
594	2927	1992
595	2932	1987
596	2936	1982
597	2941	1977
598	2945	1971
599	2950	1966
600	2954	1961
601	2958	1956
602	2963	1951
603	2967	1945
604	2972	1940
605	2976	1935
606	2981	1930
607	2985	1925
608	2990	1919
609	2994	1914
610	2999	1909
611	3003	1904
612	3008	1899
613	3012	1894
614	3017	1888
615	3021	1883
616	3026	1878
617	3030	1873
618	3035	1868
619	3040	1863
620	3045	1858
621	3050	1853
622	3055	1848
623	3060	1843
624	3064	1838
625	3069	1833
626	3073	1828
627	3078	1823
628	3083	1818
629	3088	1813
630	3093	1808
631	3097	1803
632	3102	1798
633	3106	1793
634	3110	1788
635	3115	1782
636	3119	1777
637	3124	1772
638	3128	1767
639	3133	1762
640	3137	1757
641	3141	1751
642	3146	1746
643	3150	1741
644	3154	1736
645	3159	1731
646	3163	1726
647	3168	1720
648	3172	1715
649	3177	1710
650	3181	1705
651	3186	1700
652	3190	1695
653	3195	1690
654	3199	1685
655	3203	1680
656	3208	1675
657	3212	1669
658	3217	1664
659	3221	1659
660	3226	1654
661	3231	1649
662	3235	1644
663	3240	1639
664	3244	1634
665	3249	1629
666	3254	1624
667	3258	1619
668	3263	1614
669	3267	1609
670	3273	1604
671	3277	1599
672	3282	1594
673	3286	1589
674	3291	1584
675	3295	1579
676	3300	1574
677	3305	1569
678	3309	1564
679	3313	1559
680	3318	1554
681	3323	1549
682	3327	1544
683	3332	1539
684	3336	1534
685	3341	1529
686	3345	1524
687	3350	1519
688	3355	1514
689	3360	1509
690	3364	1504
691	3369	1499
692	3374	1494
693	3378	1489
694	3383	1484
695	3387	1479
696	3392	1474
697	3396	1469
698	3401	1464
699	3405	1459
700	3410	1454
701	3414	1449
702	3419	1444
703	3423	1439
704	3428	1434
705	3432	1429
706	3436	1424
707	3441	1419
708	3445	1414
709	3449	1409
710	3454	1404
711	3458	1399
712	3463	1394
713	3467	1389
714	3472	1384
715	3476	1378
716	3480	1373
717	3485	1368
718	3490	1363
719	3494	1358
720	3499	1354
721	3503	1349
722	3508	1344
723	3512	1338
724	3516	1334
725	3521	1328
726	3525	1323
727	3530	1318
728	3534	1314
729	3539	1309
730	3543	1304
731	3548	1299
732	3552	1294
733	3557	1289
734	3561	1284
735	3566	1279
736	3570	1274
737	3575	1269
738	3579	1264
739	3584	1259
740	3589	1254
741	3593	1249
742	3598	1244
743	3602	1239
744	3607	1234
745	3611	1229
746	3616	1224
747	3620	1219
748	3625	1214
749	3629	1209
750	3634	1205
751	3638	1200
752	3643	1195
753	3647	1190
754	3652	1185
755	3656	1180
756	3660	1175
757	3665	1170
758	3669	1165
759	3674	1160
760	3678	1155
761	3683	1150
762	3687	1145
763	3691	1140
764	3696	1135
765	3700	1130
766	3705	1125
767	3709	1120
768	3714	1115
769	3719	1111
770	3724	1106
771	3728	1101
772	3733	1096
773	3737	1091
774	3741	1086
775	3746	1081
776	3750	1076
777	3754	1071
778	3759	1066
779	3763	1061
780	3768	1056
781	3772	1051
782	3777	1046
783	3781	1041
784	3786	1036
785	3790	1031
786	3795	1027
787	3799	1022
788	3803	1017
789	3808	1012
790	3812	1007
791	3817	1002
792	3821	997
793	3826	992
794	3831	987
795	3835	982
796	3839	978
797	3844	973
798	3848	968
799	3852	963
800	3857	958
801	3861	953
802	3866	948
803	3870	943
804	3875	938
805	3879	933
806	3884	928
807	3888	924
808	3893	919
809	3897	914
810	3901	909
811	3906	904
812	3910	899
813	3914	894
814	3919	889
815	3924	884
816	3928	879
817	3933	875
818	3937	870
819	3942	865
820	3947	860
821	3951	855
822	3956	850
823	3960	845
824	3965	841
825	3969	836
826	3974	831
827	3978	826
828	3983	821
829	3987	816
830	3992	811
831	3996	807
832	4001	802
833	4005	797
834	4010	792
835	4016	787
836	4022	783
837	4027	778
838	4033	773
839	4038	769
840	4043	764
841	4048	759
842	4054	755
843	4059	750
844	4065	745
845	4070	740
846	4075	736
847	4080	731
848	4085	726
849	4090	721
850	4095	717
851	4100	712
852	4105	707
853	4110	702
854	4115	697
855	4119	693
856	4124	688
857	4128	683
858	4133	678
859	4137	673
860	4142	668
861	4146	663
862	4151	659
863	4155	654
864	4160	649
865	4165	644
866	4169	639
867	4174	634
868	4178	629
869	4183	625
870	4187	620
871	4192	615
872	4196	610
873	4201	605
874	4206	600
875	4210	596
876	4215	591
877	4219	586
878	4224	581
879	4229	576
880	4234	571
881	4239	567
882	4243	562
883	4248	557
884	4252	552
885	4257	547
886	4262	543
887	4267	538
888	4271	533
889	4276	528
890	4280	523
891	4285	518
892	4290	514
893	4295	509
894	4299	504
895	4304	499
896	4309	494
897	4313	490
898	4318	485
899	4322	480
900	4327	475
901	4332	470
902	4336	465
903	4341	461
904	4346	456
905	4351	451
906	4355	446
907	4360	441
908	4364	436
909	4369	432
910	4373	427
911	4378	422
912	4382	417
913	4387	412
914	4392	408
915	4397	403
916	4401	398
917	4406	393
918	4411	388
919	4416	384
920	4421	379
921	4426	374
922	4431	369
923	4436	364
924	4440	360
925	4445	355
926	4450	350
927	4454	345
928	4459	340
929	4464	336
930	4469	331
931	4473	326
932	4478	321
933	4483	316
934	4488	312
935	4493	307
936	4498	302
937	4502	297
938	4507	292
939	4512	288
940	4517	283
941	4521	278
942	4526	273
943	4531	268
944	4536	264
945	4541	259
946	4546	254
947	4551	249
948	4555	244
949	4560	240
950	4565	235
951	4569	230
952	4574	225
953	4579	220
954	4583	215
955	4587	211
956	4592	206
957	4596	201
958	4601	196
959	4605	191
960	4610	187
961	4614	182
962	4618	177
963	4623	172
964	4628	167
965	4632	163
966	4637	158
967	4642	153
968	4646	148
969	4651	143
970	4655	139
971	4660	134
972	4664	129
973	4669	124
974	4673	119
975	4677	115
976	4682	110
977	4686	105
978	4691	100
979	4695	95
980	4700	91
981	4705	86
982	4710	81
983	4714	76
984	4718	71
985	4723	67
986	4727	62
987	4732	57
988	4736	52
989	4741	47
990	4746	43
991	4750	38
992	4755	33
993	4759	28
994	4764	23
995	4769	19
996	4773	14
997	4778	9
998	4783	4
999	4788	0
